,Unnamed: 0,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,XHead,YHead,label
240,135,292.0,109.0,270.6198347107438,133.0,260.0,133.0,292.0,140.0,333.0,133.0,271.0,133.0,302.0,140.0,323.0,133.0,240.39999135841728,187.0,240.0,195.0,260.0,242.00051200000001,250.0,297.0,250.0,187.0,260.0,242.0,250.0,297.0,281.0,109.0,292.0,109.0,271.0,109.0,291.9703290577271,171.3579028295541,278.52217149207274,287.7573873990356,271.09761597969447,288.0744897171194,250.0,288.1111111111111,271.0,305.0,260.0,313.0,250.0,305.0,285.5940658115454,121.47158056591081,top
246,141,292.0,109.0,270.56082234820025,125.0,260.0,125.0,292.0,133.0,333.0,133.0,271.0,125.0,301.6065842497097,140.0,323.0,133.0,240.39925241072703,187.0,240.0,187.0,260.0,242.00051200000001,250.0,297.0,250.0,187.0,260.0,242.0,250.0,297.0,281.0,109.0,292.0,155.4389574759945,271.0,109.0,291.9703290577271,171.3579028295541,280.3882028275002,284.1668155549087,271.09761597969447,288.0744897171194,250.0,305.0,271.0,305.0,260.0,313.0,250.0,305.0,285.5940658115454,130.7593720611097,top
252,147,292.0,117.0,270.5600095057409,125.0,260.0,125.0,292.0,140.0,333.0,133.0,271.0,125.0,301.6000815100355,148.0,323.0,140.0,240.34560480841472,187.0,240.0,187.0,260.0,242.00051200000001,250.0,305.0,250.0,187.0,260.0,242.0,250.0,297.0,283.2,109.0,292.0,109.0,271.0,109.0,291.9703290577271,171.3579028295541,280.91194623159106,286.46961582224617,271.09761597969447,288.0744897171194,250.11111111111114,290.5111111111111,271.0,305.0,260.0,313.0,250.0,305.0,286.0340658115454,123.0715805659108,top
258,153,291.99999999999994,109.0,270.8591736537382,125.0,260.0,125.0,300.1818181818182,140.0,333.0,133.0,271.0,125.0,301.6000008975602,140.0,323.0,133.0,240.0,187.0,250.0,187.0,260.0,242.0,250.0,305.0,250.0,187.0,275.45454545454544,242.0,250.0,297.0,281.0,101.0,292.0,101.0,271.0,101.0,291.9703290577271,171.3579028295541,280.99063430335866,292.6297959876036,271.09761597969447,287.97111820713,247.0,293.8,271.0,305.0,260.0,313.0,250.0,305.0,285.5940658115454,116.67158056591082,top
264,159,292.0,109.0,271.0,125.0,260.0,125.0,302.0,140.0,333.0,133.0,271.0,125.0,301.87197596711775,140.0,323.0,133.0,240.0,187.0,250.0,187.0,260.0,242.00051200000001,250.0,298.78512396694214,250.0,187.0,275.45454545454544,242.0,250.0,297.0,281.44,101.0,292.0,152.27272727272728,271.0,101.0,291.9703290577271,171.3579028295541,280.99908944615987,292.2372505736247,271.09761597969447,289.1176569005231,245.55555555555557,292.5555555555556,271.0,305.0,260.0,305.0,250.0,305.0,285.68206581154544,126.92612602045627,top
270,165,292.0,109.0,271.0,125.0,260.0,125.0,292.0,140.0,333.0,133.0,271.0,125.0,302.0,140.0,323.0,133.0,240.34560480841478,187.0,250.0,187.0,260.0,242.00051200000001,250.0,298.58677685950414,250.0,187.0,260.0,242.0,250.0,297.0,283.2,109.0,294.5,153.8,271.0,109.0,291.9703290577271,171.3579028295541,280.999770812979,289.7490122573902,271.09761597969447,289.0318356185823,243.6172839506173,294.1061728395061,271.0,305.0,260.0,305.0,250.0,305.0,286.5340658115454,130.43158056591082,top
275,170,292.0,117.0,271.0,133.0,260.0,133.0,302.0,148.0,333.0,140.0,271.0,133.0,302.0,148.0,323.0,140.0,240.3934157502903,195.0,240.0,195.0,268.8,242.00051200000001,250.0,297.0,250.0,195.0,260.0,242.0,250.0,297.0,283.2,109.0,292.0,109.0,271.0,117.0,291.9703290577271,171.3579028295541,280.99992727601347,289.4097731618886,271.09761597969447,288.05572911073114,240.0,297.0,271.0,305.0,260.0,305.0,250.0,305.0,286.0340658115454,124.67158056591082,top
281,176,292.0,117.0,271.0,133.0,260.0,133.0,302.0,140.0,333.0,133.0,274.54545454545456,125.0,302.0,140.0,333.0,140.0,240.39991848996448,195.0,240.0,195.0,270.9119999999994,242.00051200000001,250.0,297.0,250.0,195.0,260.0,242.0,260.0,295.4,283.2,109.0,292.0,109.0,271.0,109.0,291.9703290577271,171.3579028295541,281.0,289.0,271.09761597969447,288.0744897171194,250.0,289.0,271.0,305.0,260.0,305.0,250.0,305.0,286.0340658115454,123.0715805659108,top
287,182,292.0,117.0,271.0,133.0,271.0,133.0,302.0,140.0,333.0,133.0,271.0,133.0,302.0,140.0,333.0,133.0,242.23966829253976,195.0,240.0,195.0,270.99647999998984,242.00051200000001,250.0,297.0,250.0,187.0,260.0,242.0,250.0,297.0,283.2,109.0,292.0,109.0,271.0,109.0,291.9703290577271,171.3579028295541,280.9999985867826,283.55767465322066,271.09761597969447,289.0,250.0,305.0,271.0,305.0,260.0,305.0,250.0,305.0,286.0340658115454,123.0715805659108,top
293,188,292.0,109.0,271.0,133.0,270.5672426746807,133.0,302.0,140.0,333.0,133.0,271.0,133.0,302.0,140.0,333.0,133.0,242.26343828040416,195.0,250.0,195.0,270.9992959997897,242.00051200000001,250.0,297.0,250.0,187.0,260.0,242.0,250.0,289.0,283.2,109.0,292.0,109.0,271.0,109.0,291.9703290577271,171.3579028295541,278.7626902275572,283.42352226236574,271.09761597969447,288.0744897171194,250.0,297.0,271.0,305.0,260.0,305.0,250.0,305.0,286.0340658115454,121.47158056591081,top
