,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,RightKneeAngle,LeftKneeAngle,LeftHeelAngleAngle,RightHeelAngleAngle,HipAngle,time
31,281.0,65.2,295.8,125.0,250.0,125.0,260.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,305.0,329.2,256.2,315.0,333.2,250.0,297.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.3985714285714,271.0,286.7,250.0,305.0,271.0,306.45454545454544,260.0,313.0,250.0,305.0,0.0,71.33439528902707,166.07849124270896,106.96093726961531,169.86713109956176,1550516378.5871453
32,281.0,65.2,295.8,125.0,250.0,125.0,229.2,156.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,257.8,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,297.0,281.0,57.4,302.4,52.8,260.0,60.6,312.6,57.4,271.0,289.18899999999996,271.0,286.49,247.66666666666669,301.26666666666665,271.0,305.0,260.0,305.0,250.0,305.0,7.41855259099377,71.33439528902707,167.81547013561524,120.95156631139513,173.54876257010991,1550516378.5871453
33,291.6,65.2,295.8,125.0,250.0,125.0,229.2,189.2,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,260.0,257.8,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,293.0,271.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.2268,271.0,285.988,249.33333333333334,301.26666666666665,260.0,305.0,260.0,313.0,250.0,305.0,14.818147250880822,68.71364123168063,167.920815540621,145.14108046541932,173.54876257010991,1550516378.5871453
34,291.6,65.2,295.8,125.0,250.0,125.0,229.2,156.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,260.0,257.8,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,279.2,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.27216,271.0,286.98560000000003,249.2222222222222,301.97777777777776,260.0,305.0,260.0,305.0,250.0,305.0,14.818147250880822,66.23313616812784,168.3946934916196,128.28268169768106,173.54876257010991,1550516378.5871453
35,291.6,65.2,295.8,125.0,250.0,125.0,229.2,189.2,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,260.0,257.8,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,251.11111111111111,293.0,279.2,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.326592,271.0,286.58272,247.7936507936508,300.83492063492065,260.0,313.0,260.0,313.0,250.0,305.0,14.818147250880822,68.27002168201521,167.953523191509,156.67570111906403,173.54876257010991,1550516378.5871453
36,291.6,65.2,295.8,125.0,250.0,125.0,229.2,189.2,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,260.0,257.8,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,279.2,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.28262468571427,271.0,286.54926400000005,246.75198412698413,300.16825396825396,260.0,305.0,260.0,305.0,250.0,305.0,14.818147250880822,66.23313616812784,168.46284176920588,128.28268169768106,173.54876257010991,1550516378.5871453
37,291.6,65.2,295.8,125.0,250.0,125.0,229.2,189.2,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,260.0,257.8,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,251.11111111111114,293.8,279.2,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.2594353371429,271.0,286.5191168,246.34598214285714,299.5642857142857,260.0,313.0,260.0,313.0,250.0,305.0,14.818147250880822,68.78688402167606,168.2798580959983,156.67570111906403,173.54876257010991,1550516378.5871453
38,292.0,65.2,295.8,156.0,260.0,121.8,229.2,189.2,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,211.0,266.4,211.0,271.0,334.8,250.0,297.0,329.2,211.0,315.0,333.2,250.0,297.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.2735224045714,271.0,286.52494016,250.0,297.0,271.0,313.0,260.0,313.0,250.0,305.0,26.92666069246819,67.51376818018093,171.87128347688397,159.59956301200518,178.3944716018972,1550516378.5871453
39,302.0,65.2,295.8,203.0,257.3636363636364,121.8,229.2,164.45454545454547,218.6,262.4,347.8,115.4,373.0,164.45454545454547,381.6,257.8,296.0,250.0,266.4,207.9090909090909,271.0,334.8,250.0,297.0,329.2,250.0,315.0,333.2,251.11111111111111,289.0,292.0,57.4,302.4,52.8,264.2,60.6,312.6,57.4,271.0,289.2828668854857,271.0,286.63232819200005,245.56820436507937,299.5050264550265,260.0,305.0,260.0,305.0,250.0,305.0,26.978448893754223,65.00902658787159,168.19821553716778,143.6541671110823,177.71078115500887,1550516378.5871453
40,292.0,65.2,295.8,140.0,260.0,121.8,229.2,156.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,203.0,266.4,203.0,271.0,334.8,250.0,297.0,329.2,203.0,315.0,333.2,250.0,297.0,281.0,57.4,292.0,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.28500826258283,271.0,286.5616738304,240.0,297.0,271.0,313.0,260.0,313.0,250.0,305.0,27.055714500790753,67.10980465078723,168.55961459101923,159.59956301200518,178.50622146499848,1550516378.5871453
